,A,B,C,A^2,A B,A C,B^2,B C,C^2
A,-0.09916105289943525,-0.08685875457878259,0.0,-0.03263829742074184,0.07783586794195882,0.033115256702291686,-0.2468418347938019,0.0,0.0
B,0.056286562203090376,-0.1304021324360191,0.0,0.0066238214040421056,0.01254284945156842,-0.022859977676773544,0.04908963306379298,0.006089623312778096,0.0
C,0.03872206260762554,0.2291861537475703,0.0,0.026646166235414586,-0.09450802486371444,-0.007798130507995801,0.14113869644346544,-0.008181336699813208,0.0
